Date,Group,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions
01/01/2020-04/30/2022,By Total,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,292.0,526.0
01/01/2020-04/30/2022,By Total,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,6664.0,9808.0
01/01/2020-04/30/2022,By Total,Alabama,COVID-19,COVID-19,U071,All Ages,19281.0,19281.0
01/01/2020-04/30/2022,By Total,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,704.0,744.0
01/01/2020-04/30/2022,By Total,Alaska,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,111.0,114.0
01/01/2020-04/30/2022,By Total,Alaska,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,137.0,137.0
01/01/2020-04/30/2022,By Total,Alaska,Respiratory diseases,Respiratory failure,J96,All Ages,411.0,427.0
01/01/2020-04/30/2022,By Total,Alaska,Respiratory diseases,Respiratory arrest,R09.2,All Ages,13.0,13.0
01/01/2020-04/30/2022,By Total,Alaska,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,75.0,77.0
01/01/2020-04/30/2022,By Total,Alaska,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,123.0,125.0
01/01/2020-04/30/2022,By Total,Alaska,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,95.0,104.0
01/01/2020-04/30/2022,By Total,Alaska,Circulatory diseases,Cardiac arrest,I46,All Ages,123.0,123.0
01/01/2020-04/30/2022,By Total,Alaska,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,73.0,77.0
01/01/2020-04/30/2022,By Total,Alaska,Circulatory diseases,Heart failure,I50,All Ages,92.0,92.0
01/01/2020-04/30/2022,By Total,Alaska,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,72.0,75.0
01/01/2020-04/30/2022,By Total,Alaska,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,95.0,102.0
01/01/2020-04/30/2022,By Total,Alaska,Sepsis,Sepsis,A40-A41,All Ages,73.0,73.0
01/01/2020-04/30/2022,By Total,Alaska,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,75.0,80.0
01/01/2020-04/30/2022,By Total,Alaska,Diabetes,Diabetes,E10-E14,All Ages,110.0,110.0
01/01/2020-04/30/2022,By Total,Alaska,Obesity,Obesity,E65-E68,All Ages,83.0,83.0
01/01/2020-04/30/2022,By Total,Alaska,Alzheimer disease,Alzheimer disease,G30,All Ages,27.0,27.0
01/01/2020-04/30/2022,By Total,Alaska,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,56.0,56.0
01/01/2020-04/30/2022,By Total,Alaska,Renal failure,Renal failure,N17-N19,All Ages,130.0,139.0
01/01/2020-04/30/2022,By Total,Alaska,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,39.0,97.0
01/01/2020-04/30/2022,By Total,Alaska,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,578.0,905.0
01/01/2020-04/30/2022,By Total,Alaska,COVID-19,COVID-19,U071,All Ages,1259.0,1259.0
01/01/2020-04/30/2022,By Total,Arizona,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,15348.0,15756.0
01/01/2020-04/30/2022,By Total,Arizona,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,1875.0,1936.0
01/01/2020-04/30/2022,By Total,Arizona,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,4361.0,4361.0
01/01/2020-04/30/2022,By Total,Arizona,Respiratory diseases,Respiratory failure,J96,All Ages,12689.0,12952.0
01/01/2020-04/30/2022,By Total,Arizona,Respiratory diseases,Respiratory arrest,R09.2,All Ages,584.0,584.0
01/01/2020-04/30/2022,By Total,Arizona,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,1477.0,1539.0
01/01/2020-04/30/2022,By Total,Arizona,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,3906.0,3960.0
01/01/2020-04/30/2022,By Total,Arizona,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,2256.0,2410.0
01/01/2020-04/30/2022,By Total,Arizona,Circulatory diseases,Cardiac arrest,I46,All Ages,3359.0,3359.0
01/01/2020-04/30/2022,By Total,Arizona,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,1654.0,1699.0
01/01/2020-04/30/2022,By Total,Arizona,Circulatory diseases,Heart failure,I50,All Ages,1350.0,1351.0
01/01/2020-04/30/2022,By Total,Arizona,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,948.0,974.0
01/01/2020-04/30/2022,By Total,Arizona,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,1933.0,2123.0
01/01/2020-04/30/2022,By Total,Arizona,Sepsis,Sepsis,A40-A41,All Ages,1737.0,1738.0
01/01/2020-04/30/2022,By Total,Arizona,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,1095.0,1238.0
01/01/2020-04/30/2022,By Total,Arizona,Diabetes,Diabetes,E10-E14,All Ages,3743.0,3766.0
01/01/2020-04/30/2022,By Total,Arizona,Obesity,Obesity,E65-E68,All Ages,1631.0,1633.0
01/01/2020-04/30/2022,By Total,Arizona,Alzheimer disease,Alzheimer disease,G30,All Ages,602.0,602.0
01/01/2020-04/30/2022,By Total,Arizona,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,1164.0,1164.0
01/01/2020-04/30/2022,By Total,Arizona,Renal failure,Renal failure,N17-N19,All Ages,2476.0,2564.0
01/01/2020-04/30/2022,By Total,Arizona,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,669.0,1244.0
01/01/2020-04/30/2022,By Total,Arizona,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,10354.0,15631.0
01/01/2020-04/30/2022,By Total,Arizona,COVID-19,COVID-19,U071,All Ages,27240.0,27240.0
01/01/2020-04/30/2022,By Total,Arkansas,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,5189.0,5291.0
01/01/2020-04/30/2022,By Total,Arkansas,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,967.0,999.0
01/01/2020-04/30/2022,By Total,Arkansas,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,1397.0,1397.0
01/01/2020-04/30/2022,By Total,Arkansas,Respiratory diseases,Respiratory failure,J96,All Ages,5276.0,5395.0
01/01/2020-04/30/2022,By Total,Arkansas,Respiratory diseases,Respiratory arrest,R09.2,All Ages,278.0,278.0
01/01/2020-04/30/2022,By Total,Arkansas,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,390.0,412.0
01/01/2020-04/30/2022,By Total,Arkansas,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,1925.0,1945.0
01/01/2020-04/30/2022,By Total,Arkansas,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,1191.0,1286.0
01/01/2020-04/30/2022,By Total,Arkansas,Circulatory diseases,Cardiac arrest,I46,All Ages,1373.0,1373.0
01/01/2020-04/30/2022,By Total,Arkansas,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,743.0,765.0
01/01/2020-04/30/2022,By Total,Arkansas,Circulatory diseases,Heart failure,I50,All Ages,863.0,863.0
01/01/2020-04/30/2022,By Total,Arkansas,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,507.0,518.0
01/01/2020-04/30/2022,By Total,Arkansas,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,626.0,679.0
01/01/2020-04/30/2022,By Total,Arkansas,Sepsis,Sepsis,A40-A41,All Ages,1095.0,1097.0
01/01/2020-04/30/2022,By Total,Arkansas,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,508.0,620.0
01/01/2020-04/30/2022,By Total,Arkansas,Diabetes,Diabetes,E10-E14,All Ages,1450.0,1457.0
01/01/2020-04/30/2022,By Total,Arkansas,Obesity,Obesity,E65-E68,All Ages,440.0,443.0
01/01/2020-04/30/2022,By Total,Arkansas,Alzheimer disease,Alzheimer disease,G30,All Ages,386.0,386.0
01/01/2020-04/30/2022,By Total,Arkansas,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,780.0,784.0
01/01/2020-04/30/2022,By Total,Arkansas,Renal failure,Renal failure,N17-N19,All Ages,1125.0,1169.0
01/01/2020-04/30/2022,By Total,Arkansas,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,214.0,390.0
01/01/2020-04/30/2022,By Total,Arkansas,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,4091.0,6423.0
01/01/2020-04/30/2022,By Total,Arkansas,COVID-19,COVID-19,U071,All Ages,11124.0,11124.0
01/01/2020-04/30/2022,By Total,California,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,53563.0,54330.0
01/01/2020-04/30/2022,By Total,California,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,6485.0,6783.0
01/01/2020-04/30/2022,By Total,California,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,9243.0,9243.0
01/01/2020-04/30/2022,By Total,California,Respiratory diseases,Respiratory failure,J96,All Ages,47075.0,47844.0
01/01/2020-04/30/2022,By Total,California,Respiratory diseases,Respiratory arrest,R09.2,All Ages,2764.0,2764.0
01/01/2020-04/30/2022,By Total,California,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,4179.0,4411.0
01/01/2020-04/30/2022,By Total,California,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,19339.0,19503.0
01/01/2020-04/30/2022,By Total,California,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,9306.0,10057.0
01/01/2020-04/30/2022,By Total,California,Circulatory diseases,Cardiac arrest,I46,All Ages,26421.0,26421.0
01/01/2020-04/30/2022,By Total,California,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,7327.0,7476.0
01/01/2020-04/30/2022,By Total,California,Circulatory diseases,Heart failure,I50,All Ages,6741.0,6746.0
01/01/2020-04/30/2022,By Total,California,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,4798.0,4931.0
01/01/2020-04/30/2022,By Total,California,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,6444.0,7059.0
01/01/2020-04/30/2022,By Total,California,Sepsis,Sepsis,A40-A41,All Ages,13503.0,13505.0
01/01/2020-04/30/2022,By Total,California,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,4434.0,5071.0
01/01/2020-04/30/2022,By Total,California,Diabetes,Diabetes,E10-E14,All Ages,20056.0,20159.0
01/01/2020-04/30/2022,By Total,California,Obesity,Obesity,E65-E68,All Ages,5461.0,5468.0
01/01/2020-04/30/2022,By Total,California,Alzheimer disease,Alzheimer disease,G30,All Ages,3463.0,3466.0
01/01/2020-04/30/2022,By Total,California,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,5114.0,5123.0
01/01/2020-04/30/2022,By Total,California,Renal failure,Renal failure,N17-N19,All Ages,12753.0,13190.0
01/01/2020-04/30/2022,By Total,California,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,2523.0,4752.0
01/01/2020-04/30/2022,By Total,California,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,33361.0,50434.0
01/01/2020-04/30/2022,By Total,California,COVID-19,COVID-19,U071,All Ages,94658.0,94658.0
01/01/2020-04/30/2022,By Total,Colorado,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,6494.0,6863.0
01/01/2020-04/30/2022,By Total,Colorado,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,1665.0,1776.0
01/01/2020-04/30/2022,By Total,Colorado,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,2544.0,2544.0
01/01/2020-04/30/2022,By Total,Colorado,Respiratory diseases,Respiratory failure,J96,All Ages,5106.0,5458.0
01/01/2020-04/30/2022,By Total,Colorado,Respiratory diseases,Respiratory arrest,R09.2,All Ages,115.0,115.0
01/01/2020-04/30/2022,By Total,Colorado,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,994.0,1084.0
01/01/2020-04/30/2022,By Total,Colorado,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,2492.0,2528.0
01/01/2020-04/30/2022,By Total,Colorado,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,1440.0,1583.0
01/01/2020-04/30/2022,By Total,Colorado,Circulatory diseases,Cardiac arrest,I46,All Ages,672.0,672.0
01/01/2020-04/30/2022,By Total,Colorado,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,1467.0,1531.0
01/01/2020-04/30/2022,By Total,Colorado,Circulatory diseases,Heart failure,I50,All Ages,1176.0,1177.0
01/01/2020-04/30/2022,By Total,Colorado,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,876.0,921.0
01/01/2020-04/30/2022,By Total,Colorado,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,1676.0,1937.0
01/01/2020-04/30/2022,By Total,Colorado,Sepsis,Sepsis,A40-A41,All Ages,1217.0,1218.0
01/01/2020-04/30/2022,By Total,Colorado,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,915.0,1048.0
01/01/2020-04/30/2022,By Total,Colorado,Diabetes,Diabetes,E10-E14,All Ages,2168.0,2192.0
01/01/2020-04/30/2022,By Total,Colorado,Obesity,Obesity,E65-E68,All Ages,1006.0,1007.0
01/01/2020-04/30/2022,By Total,Colorado,Alzheimer disease,Alzheimer disease,G30,All Ages,582.0,585.0
01/01/2020-04/30/2022,By Total,Colorado,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,1566.0,1570.0
01/01/2020-04/30/2022,By Total,Colorado,Renal failure,Renal failure,N17-N19,All Ages,1732.0,1807.0
01/01/2020-04/30/2022,By Total,Colorado,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,586.0,1185.0
01/01/2020-04/30/2022,By Total,Colorado,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,7145.0,12902.0
01/01/2020-04/30/2022,By Total,Colorado,COVID-19,COVID-19,U071,All Ages,13205.0,13205.0
01/01/2020-04/30/2022,By Total,Connecticut,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,3393.0,3506.0
01/01/2020-04/30/2022,By Total,Connecticut,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,975.0,999.0
01/01/2020-04/30/2022,By Total,Connecticut,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,642.0,642.0
01/01/2020-04/30/2022,By Total,Connecticut,Respiratory diseases,Respiratory failure,J96,All Ages,3937.0,4026.0
01/01/2020-04/30/2022,By Total,Connecticut,Respiratory diseases,Respiratory arrest,R09.2,All Ages,281.0,281.0
01/01/2020-04/30/2022,By Total,Connecticut,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,1222.0,1263.0
01/01/2020-04/30/2022,By Total,Connecticut,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,1305.0,1314.0
01/01/2020-04/30/2022,By Total,Connecticut,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,951.0,989.0
01/01/2020-04/30/2022,By Total,Connecticut,Circulatory diseases,Cardiac arrest,I46,All Ages,1358.0,1358.0
01/01/2020-04/30/2022,By Total,Connecticut,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,677.0,693.0
01/01/2020-04/30/2022,By Total,Connecticut,Circulatory diseases,Heart failure,I50,All Ages,922.0,923.0
01/01/2020-04/30/2022,By Total,Connecticut,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,402.0,407.0
01/01/2020-04/30/2022,By Total,Connecticut,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,794.0,856.0
01/01/2020-04/30/2022,By Total,Connecticut,Sepsis,Sepsis,A40-A41,All Ages,917.0,917.0
01/01/2020-04/30/2022,By Total,Connecticut,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,616.0,674.0
01/01/2020-04/30/2022,By Total,Connecticut,Diabetes,Diabetes,E10-E14,All Ages,1078.0,1083.0
01/01/2020-04/30/2022,By Total,Connecticut,Obesity,Obesity,E65-E68,All Ages,316.0,316.0
01/01/2020-04/30/2022,By Total,Connecticut,Alzheimer disease,Alzheimer disease,G30,All Ages,276.0,276.0
01/01/2020-04/30/2022,By Total,Connecticut,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,1374.0,1376.0
01/01/2020-04/30/2022,By Total,Connecticut,Renal failure,Renal failure,N17-N19,All Ages,902.0,949.0
01/01/2020-04/30/2022,By Total,Connecticut,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,241.0,499.0
01/01/2020-04/30/2022,By Total,Connecticut,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,3981.0,5586.0
01/01/2020-04/30/2022,By Total,Connecticut,COVID-19,COVID-19,U071,All Ages,10888.0,10888.0
01/01/2020-04/30/2022,By Total,Delaware,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,1423.0,1490.0
01/01/2020-04/30/2022,By Total,Delaware,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,255.0,264.0
01/01/2020-04/30/2022,By Total,Delaware,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,205.0,205.0
01/01/2020-04/30/2022,By Total,Delaware,Respiratory diseases,Respiratory failure,J96,All Ages,738.0,755.0
01/01/2020-04/30/2022,By Total,Delaware,Respiratory diseases,Respiratory arrest,R09.2,All Ages,19.0,19.0
01/01/2020-04/30/2022,By Total,Delaware,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,190.0,196.0
01/01/2020-04/30/2022,By Total,Delaware,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,661.0,662.0
01/01/2020-04/30/2022,By Total,Delaware,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,252.0,265.0
01/01/2020-04/30/2022,By Total,Delaware,Circulatory diseases,Cardiac arrest,I46,All Ages,114.0,114.0
01/01/2020-04/30/2022,By Total,Delaware,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,250.0,261.0
01/01/2020-04/30/2022,By Total,Delaware,Circulatory diseases,Heart failure,I50,All Ages,239.0,239.0
